word,part_of_speech,class,definition_en,definition_sn,example_sentence,synonyms,antonyms,source
mwana,noun,Class 1,child; offspring,munhu mudiki; chibereko chemunhu kana mhuka,,,,"spaCy Lexicon, Wiktionary, Elliott 1897"
murimi,noun,Class 1,farmer,,,,,"spaCy Lexicon, Wiktionary"
mukuwasha,noun,Class 1,son-in-law,,,,,spaCy Lexicon
murora,noun,Class 1,daughter-in-law,,,,,spaCy Lexicon
mukoma,noun,Class 1,elder brother,,,,,spaCy Lexicon
muninina,noun,Class 1,younger sibling,,,,,spaCy Lexicon
musikana,noun,Class 1,girl,,,,,"spaCy Lexicon, Wiktionary"
mukomana,noun,Class 1,boy,,,,,"spaCy Lexicon, Wiktionary"
murume,noun,Class 1,man; husband,munhurume akura kana kuti akaroora,,,,"spaCy Lexicon, Elliott 1897"
mukadzi,noun,Class 1,woman; wife,munhukadzi akura kana kuti akaroorwa,,,,"spaCy Lexicon, Wiktionary, Elliott 1897"
mupfumi,noun,Class 1,rich person,,,,,spaCy Lexicon
murwere,noun,Class 1,patient / sick person,,,,,spaCy Lexicon
mudzidzisi,noun,Class 1,teacher,,,,,spaCy Lexicon
mubiki,noun,Class 1,cook,,,,,"spaCy Lexicon, Wiktionary"
murairidzi,noun,Class 1,instructor,,,,,spaCy Lexicon
murume mukuru,noun,Class 1,elder man,,,,,spaCy Lexicon
mupurisa,noun,Class 1,policeman,,,,,spaCy Lexicon
muporofita,noun,Class 1,prophet,,,,,spaCy Lexicon
mufundisi,noun,Class 1,pastor,,,,,spaCy Lexicon
vana,noun,Class 2,children,,,,,spaCy Lexicon
vakomana,noun,Class 2,boys,,,,,spaCy Lexicon
vasikana,noun,Class 2,girls,,,,,spaCy Lexicon
varume,noun,Class 2,men,,,,,spaCy Lexicon
vakadzi,noun,Class 2,women,,,,,spaCy Lexicon
vakwasha,noun,Class 2,sons-in-law,,,,,spaCy Lexicon
varoori,noun,Class 2,daughters-in-law,,,,,spaCy Lexicon
vabereki,noun,Class 2,parents,,,,,spaCy Lexicon
vazukuru,noun,Class 2,nieces / nephews,,,,,spaCy Lexicon
vadzimai,noun,Class 2,wives,,,,,spaCy Lexicon
vafambi,noun,Class 2,travelers,,,,,spaCy Lexicon
vadzidzisi,noun,Class 2,teachers,,,,,spaCy Lexicon
