mwana	child; offspring
murimi	farmer
mukuwasha	son-in-law
murora	daughter-in-law
mukoma	elder brother
muninina	younger sibling
musikana	girl
mukomana	boy
murume	man; husband
mukadzi	woman; wife
mupfumi	rich person
murwere	patient / sick person
mudzidzisi	teacher
mubiki	cook
murairidzi	instructor
murume mukuru	elder man
mupurisa	policeman
muporofita	prophet
mufundisi	pastor
vana	children
vakomana	boys
vasikana	girls
varume	men
vakadzi	women
vakwasha	sons-in-law
varoori	daughters-in-law
vabereki	parents
vazukuru	nieces / nephews
vadzimai	wives
vafambi	travelers
vadzidzisi	teachers
vapurisa	police officers
vafundisi	pastors
vaporofita	prophets
vashandi	workers
vadzimu	ancestral spirits
vanyori	writers
vafemberi	diviners
vapfumi	rich people
vanhu	people / human beings
vapenzi	fools / mad people
varoyi	witches / sorcerers
vanyepi	liars
vashavi	spirit mediums
vashumiri	servants / ministers
vabatsiri	helpers / assistants
vagadziri	builders / creators
vafudzi	shepherds
vabiki	cooks
vatambi	players / dancers
vaperekedzi	escorts / companions
vashanyi	visitors / tourists
vagari	residents / dwellers
vashambadzi	advertisers / broadcasters
vanyori venhau	journalists / news writers
vanyori vemabhuku	book authors
kuchikoro	to school
kumabvazuva	to the east
kumadokero	to the west
kumunda	to the field
kunevamwe	towards others / to people
kumakomo	to the mountains
kundiro	to the plate
mumusha	in the homestead / within the village
muguta	in the city
mumunda	in the field
muchikoro	inside the school
mumba	inside the house
murwizi	in the river
mumapako	in the caves
mukati	inside / within
mumhanza	on/in the forehead
mupfungwa	in the mind
pfungwa	thought / idea
pfumo	spear
pfupi	short; brief
pfi	(sound of something falling sharply)
kupfira	to pour / to offer libation
pfupi-pfupi	very short / compact
pfumbamwe	nine
pfuma	wealth / riches
pfambi	prostitute / unfaithful woman
pfupiwo	also short / likewise short
kufamba	walking / journey
kudzidza	learning / education
kushanda	work / labour
kufunga	thought / thinking
kuda	love / affection / desire
kutya	fear
kushushikana	worry / anxiety
kurima	farming
kugara	residence / way of living
kuzvarwa	birth
kamwana	small child
tuvana	small children
kamukadzi	small/insignificant woman
kamusha	small village
zimoto	big fire
gombarume	strong/big man
zvino	now (literally: at this large moment)
zvitunha	big corpses / carcasses
ini	I / me
iwe	you (singular)
iye	he / she
isu	we / us
imi	you (plural or respectful singular)
ivo	they / them
wangu	mine (singular)
wako	yours (singular)
wake	his / hers
wedu	ours
wenyu	yours (plural)
wavo	theirs
ndi	me
ku	you
mu	him/her
ti	us
mi	you (plural)
va	them
zvi	oneself / themselves
dzi	yourself
uyu	this (person)
uyo	that (person)
ichi	this (thing)
icho	that (thing)
iyi	this (feminine noun class)
iyo	that (feminine noun class)
ivo ava	these (people)
ivo avo	those (people)
-i	===Etymology=== ===Suffix=== # ====Derived terms====
-mu-	===Etymology=== . ===Infix=== # ===References=== *
-ndi-	===Etymology=== . ===Infix=== # ===References=== *
a	===Letter=== # ====See also==== *; Swadesh Concept: he
bhunu	Afrikaner
bhuruwayo	===Etymology=== From . ===Proper noun=== #
china	Thursday
chipinga	}}
chipiri	Tuesday
chiratini	Latin
chishanu	Friday
chisimira	the Pleiades
chitanhatu	Saturday
chitatu	Wednesday
dzv	===Alternative forms=== *Dɀ ===Pronunciation=== * ===Letter=== #
d	===Alternative forms=== *Dzv ===Pronunciation=== * ===Letter=== #
gatoma	}}
gweru	}}
harare	===Proper noun=== #
josefa	===Proper noun=== #
kwekwe	}}
marondera	}}
moyo	===Proper noun=== # ====Statistics==== According to data collected by Forebears in 2014, Moyo was the most common surname in Zimbabwe (327 457 persons = 2.5 percent of the population).; Swadesh Concept: heart
mugovera	Saturday
mutare	}}
muvhuro	Monday
nyadire	===Proper noun=== #
rusapi	}}
sakubva	}}
simba	===Etymology=== From . ===Proper noun=== #
sondo	#; ''or'' #
sv	===Alternative forms=== *Ȿ ===Pronunciation=== * ===Letter=== #
svondo	Sunday; week; church service
tsv	===Alternative forms=== *Tȿ ===Pronunciation=== * ===Letter=== #
t	===Alternative forms=== *Tsv ===Pronunciation=== * ===Letter=== #
vh	===Pronunciation=== * ===Letter=== #
zimbabwe	===Pronunciation=== * ===Proper noun=== #
zv	===Alternative forms=== *Ɀ ===Pronunciation=== * ===Letter=== #
aini	iron
amburera	umbrella
ani	who
kuba	to steal
baba	father
bakayau	dried fish
bara	bullet
kubata	hold, grasp; touch
batya	twin
bhachi	jacket
kubhadhara	pay
bhaiskopu	film, movie
bhandi	belt; strap
bhatye	#
bhaudhi	bolt
bhazi	bus
bheka	bakery
bhikiri	mug
bhiza	horse
bhodhoro	#
bhodyera	#
bhokisi	box; coffin
bhotoro	bottle
bhucha	slaughterhouse, butcher's shop
bhuku	book
bhurugwa	#
bhurukwa	pants, trousers
bhurukwe	#
kubika	to cook; to brew
bundo	growing grass; grassland; weed
bundu	lump; knot in wood
buno	tomato
bvupa	bone
bwato	canoe
bwe	#
kuchaira	#
chamboko	sjambok
chanza	palm of hand
chechi	church
chena	white; clean; pure
chepfu	poison
chi-	===Etymology=== From . ===Prefix=== #
chibhunu	Afrikaans
chingezi	English (language)
chiputukezi	Portuguese language
chirungu	a European language; English
chishona	Shona language
chibhokisi	smallpox
chidhakwa	drunk, drunkard
chidhina	brick
chigaro	seat, chair; chair; seat; stool
chigwagwagwa	machine gun
chikei	yoke-pin
chikepe	boat
chikope	eyelid
chikoro	school
chikwereti	debt, loan
chimanje-manje	modern, modernism
chimurenga	rebellion, revolution; a war fought against European colonists
chinanazi	pineapple
chingwa	bread
chinhu	thing, something; pneumonia
kuchipa	be cheap, be inexpensive
chipanji	#
chipatara	hospital
chipfuva	chest
chipikiri	nail
chipoko	ghost
chiponji	sponge
chipunu	spoon
chiraparapa	Fanagalo
chirebvu	chin
chiroto	dream
chishambo	sponge
chitina	#
chitokisi	prison cell
chitoro	shop
chituro	#
chituru	stool
chiuru	thousand
chiwepu	whip
chizi	cheese
choto	fireplace (in a house) hearth
chuma	bead(s)
churu	#
dako	buttock
kudana	call, summon
dapiri	potato
kudhaka	to intoxicate, to make drunk
kudhakwa	be drunk
dhiraivha	driver
dhirezi	dress
dhongana	donkey foal
dhongi	donkey
kudhonza	pull
dhorobha	town
dhuku	head tie
kudhura	be expensive
diki	small, little; young; small; little; minor
doko	# =
domasi	tomato
dondo	forest; fruit of the mutondo tree; florescence
kudondodza	to walk using a stick
duku	# =
dumbu	belly; intestines
duramazwi	dictionary
kudya	to eat
dziva	pond, pool
kufa	to die
fafitera	window
kufamba	to walk; to travel; to move
famu	farm
firimu	film, movie; film
fodya	tobacco; cigarette
fofo	match
foshoro	shovel, spade
kufunda	study; learn
fupa	#
gamera	#
kugara	sit, be seated; stay, live (somewhere); stay away from
garafa	bottle; piece of glass used to scrape
garikuni	turkey
garo	buttock
garwe	crocodile
gazi	blood
gejo	plough
girazi	glass; glasses, spectacles
godo	bone
goko	crocodile
gomo	mountain, hill; mountain; hill
gonoriya	gonorrhea
gore	year
goridhe	gold
gorosi	barley; wheat
gumi	ten
guyu	fig
gwa	#
gwai	#
gwaimani	trek ox
gwanza	path
gwavha	guava
gweta	lawyer
hachi	horse
hana	conscience; heartbeat; soul; inner-heart
handa	puppy
hanga	helmeted guineafowl
hanzi	goose
hapwa	armpit
hembe	shirt
hondo	war
hope	sleep
hosipitari	hospital
hozhwa	slug or snail
huku	chicken
hukwana	young chicken; chick
hupfumi	economy
hure	prostitute, whore
hwai	sheep
hwana	#
ibwe	stone; rock
igwa	canoe; boat
imba	house
imbwa	dog
imbwanana	puppy
ingwa	#
ingwe	leopard
ishwa	termite
itsvo	kidney
jasi	overcoat, greatcoat
jazi	#
joki	yoke
jonosi	ox, a young or untrained one
ka-	.
kukama	to milk
kamba	leopard
kamu	comb
kanduru	candle
kandyera	candle
kukanga	to fry
kepisi	cap
kirike	church
kobvu	thick; fat
konobho	button
kopa	copper
koroni	wheat
ku-	.
kuru	big, large; great; adult; big; large
kuuzuru	above, high up, upward
kukwenya	to scratch
kukwereta	borrow
ma-	===Etymology=== . ===Prefix=== #
mabwe	stones
machisi	matches
mafuta	fat, oil, grease
magetsi	electricity
makomo	#
manje	now, at present; then, so then
marasha	coal
marata	corrugated iron
mari	money
mate	saliva (liquid secreted into the mouth)
mbada	leopard
mbatatisi	potato
mbeu	seed
mbira	rock hyrax
mbiya	a kind of round dish used for relish
mboro	penis
mbudzana	kid
mbudzi	goat
mbwa	#
mbwanana	#
mhara	impala
mhata	anus, asshole; bad-mannered person, asshole
mhene	steenbok
mhino	#
mhondoro	Mhondoro
mhou	cow; ostrich
mhowani	ostrich
mhumhi	African hunting dog (); wolf
mhuno	nose
mi-	.
mimba	uterus; pregnancy
mombe	cattle; cow
moto	fire; heat
motokari	car, vehicle
moyo	heart (used in anatomy to refer to the muscular organ which pumps blood throughout the body, as well as in \"metaphorical\" terms in reference to emotional or romantic experiences); heart; spirit; seat of emotion
mu-	.
mumanyika	A member of the
muputukezi	Portuguese person
murozvi	A member of the Rozvi tribe, the ruling class of the .
murungu	white person; wealthy person; employer
muzezuru	A member of the
muboora	cooked pumpkin leaves
muchairi	#
mudhudhudhu	motorcycle
mudzimu	spirit elder of the family; soul of a dead person
mufarinya	cassava, manioc
mufundi	student, disciple, learner
mugodhi	mine
muhacha	mobola plum
muhedheni	heathen
mukaka	milk
mukanwa	inside of the mouth
mukomonisiti	communist
mukonde	naboom, candelabra tree ()
mukuyu	fig tree
mumhungu	round-leaved bloodwood ()
mundimu	lemon tree
munhu	person, human; person; human being
munwe	finger
muoko	#
muonde	fig tree
mupunga	rice
muromo	mouth, beak; plowshare
murota	soap
musasa	msasa tree
musoro	head; top
mutengeni	sourplum ()
mutengi	buyer
muti	tree; medicine; herb
mutobvu	lead
mutsvanzva	sourplum ()
mutsvanzvabere	tallowwood (Ximenia americana)
mutumba	a type of very large drum
mutyairi	driver
muvaravandi	Person who acts secretly
muverengi	reader
muvhakacho	holiday
muviri	body
muwayawaya	round-leaved bloodwood ()
muzukuru	grandchild
muzvcazi	Milky Way (in Chingova); Galaxy (possible use in Standard Shona)
mvura	water; rain
mvuu	hippopotamus
kumwa	#
mwaka	season
mwe	one; other, another
mwedzi	moon; month
mwoto	fire
mwoyo	heart
nanga	witch doctor, medicine man
nombe	#
kunwa	#; to drink
na	four
nachisi	tangerine, mandarin, naartjie
nanazi	pineapple
ndarama	precious metal, gold
ndebvu	beard
ndege	aeroplane, airplane, aircraft
ndi-	I
ndimu	lemon
ndoto	dream; fantasy
ngamera	camel
ngani	how much, how many
ngano	folklore, fable, fantasy; story
ngarava	ship
ngoma	drum
nguruve	pig
ngurwana	piglet
nguva	time
ngwe	#
ngwena	crocodile
nhambo	time
nhanga	pumpkin
nhauro	subject; topic; story, news
nhondo	#
nhoro	kudu
nhoroondo	history
njanji	railway
njuma	poll
nomwe	seven
nondo	tsessebe }}
nyama	meat
nyambo	story; tales; jokes
nyanza	lake; ocean, sea
kunyarara	be quiet, be silent; be peaceful
nyati	buffalo
nyaya	story; conversation; news
kunyenga	woo, court; gain favor with someone; have sex
nyenyedzi	star
nyeredzi	#
nyoka	snake
nyuchi	bee
nyundo	hammer
nzara	hunger; famine
nzeve	ear
nzira	path
nzou	elephant
nzungu	groundnut / peanut
kuona	to see; to think; to acquire; to look; to find
onde	fig
kuoneka	# to be seen, to be visible
kuonesa	# to show
kuota	to take warmth from a fire.
kupa	to give
pa-	.
pamhi	broad
pasi	on the ground; below, down
pauzuru	above, high up
pfumbamwe	nine
pfuti	gun
pungwe	#
purazi	farm
kurara	to sleep
refu	long, tall; long; tall
remoni	lemon
kurima	cultivate
rize	scorpion
rokwe	dress
ropa	blood
kurota	dream
roto	dream
ru-	===Etymology=== From . ===Prefix=== #
rugare	peace
rukodzi	bird of prey, hawk
rukuni	piece of firewood
runyararo	peace
ruoko	arm; hand
rurimi	tongue; language
ruva	flower
kurwa	to fight
sadza	nshima
kuseka	laugh (at); to laugh
sere	eight
shanu	five
shava	(light) brown
shoma	few, little
shuga	sugar
shumba	lion
shwa	#
kusimba	be strong; be powerful
simbi	iron; metal
sipo	soap
siraha	slaughterhouse, butcher's shop
sirivha	silver
sumburera	umbrella
svo	#
tafura	table
tanhatu	six
tatu	three
taundi	town
teburu	table
tema	black; dark
tenesi	tennis ball; sneaker, tennis shoe
tete	thin; narrow
toki	turkey
tsaru	old; worn-out
tsotsi	criminal, thug, gangster, hooligan, hoodlum
tsva	new; fresh
tsvigiri	sugar
tsvo	#
tsvuku	red
tu-	.
twana	caracal
kutyaira	drive
tyava	whip
u-	.
ukuru	greatness
kuumba	to mould, shape
unga	gunpowder
kuuraya	to kill
usiku	night; nighttime
va-	.
kuvaravanda	to act secretly; # to keep oneself hidden
kuverenga	to count; # to compute; to read
kuvhara	close, shut
vhiki	week
vhiri	wheel
kuvira	to boil
viri	two
vusiku	night (in two Shona languages, Karanga and Ndau language).; nighttime
windo	window
zai	egg
zamu	breast
zana	hundred
zanda	egg
zhara	#
zhinji	much, many
zhou	#
zino	tooth
ziso	eye
kuziva	to know; to be acquainted with
zuva	sun; day
kuzvara	to bear
zvi-	===Etymology=== From , plus augment. Originally the pronominal and verbal concord, it displaced the older Bantu noun prefix . The tone was lowered by analogy with other noun prefixes. ===Prefix=== #
kuzvimba	to swell
zviroto	dreams; fantasies
ndi	Swadesh Concept: I
ini	Swadesh Concept: I
iwe	Swadesh Concept: you (sing)
ti	Swadesh Concept: we
imi	Swadesh Concept: you (pl)
va	Swadesh Concept: they
ino	Swadesh Concept: this
iyo	Swadesh Concept: that
pano	Swadesh Concept: here
apo	Swadesh Concept: there
ani	Swadesh Concept: who
chii	Swadesh Concept: what
kupi	Swadesh Concept: where
rini	Swadesh Concept: when
sei	Swadesh Concept: how
-ngani	Swadesh Concept: how
kwete	Swadesh Concept: not
ese	Swadesh Concept: all
zhinji	Swadesh Concept: many
amwe	Swadesh Concept: some
shoma	Swadesh Concept: few
imwe	Swadesh Concept: other
motsi	Swadesh Concept: one
piri	Swadesh Concept: two
tatu	Swadesh Concept: three
china	Swadesh Concept: four
shanu	Swadesh Concept: five
-hombe	Swadesh Concept: big
-reba	Swadesh Concept: long
-fara	Swadesh Concept: wide
-kora	Swadesh Concept: thick
-rema	Swadesh Concept: heavy
-diki	Swadesh Concept: small
-pfupi	Swadesh Concept: short
-dete	Swadesh Concept: narrow
-nhete	Swadesh Concept: narrow
-sunhu	Swadesh Concept: narrow
-onda	Swadesh Concept: thin
mukadzi	Swadesh Concept: woman
murume	Swadesh Concept: man; Swadesh Concept: husband
munhu	Swadesh Concept: human
mwana	Swadesh Concept: child
mudzimai	Swadesh Concept: wife
amai	Swadesh Concept: mother
baba	Swadesh Concept: father
mhuka	Swadesh Concept: animal
hove	Swadesh Concept: fish
shiri	Swadesh Concept: bird
nyana young bird	Swadesh Concept: bird
imbwa	Swadesh Concept: dog
inda	Swadesh Concept: louse
nyoka	Swadesh Concept: snake
gonye	Swadesh Concept: worm
muti	Swadesh Concept: tree
sango	Swadesh Concept: forest
rutanda	Swadesh Concept: stick
muchero	Swadesh Concept: fruit
mhodzi	Swadesh Concept: seed
mbeu	Swadesh Concept: seed
shizha	Swadesh Concept: leaf
mudzi	Swadesh Concept: root
gwati	Swadesh Concept: bark (tree)
ruva	Swadesh Concept: flower
uswa	Swadesh Concept: grass
tambo	Swadesh Concept: rope
ganda	Swadesh Concept: skin
nyama	Swadesh Concept: meat
ropa	Swadesh Concept: blood
bvupa	Swadesh Concept: bone
mafuta	Swadesh Concept: fat (n.)
zai	Swadesh Concept: egg
nyanga	Swadesh Concept: horn
muswe	Swadesh Concept: tail
nhenga	Swadesh Concept: feather
vhudzi	Swadesh Concept: hair
mvere wool	Swadesh Concept: hair
musoro	Swadesh Concept: head
nzeve	Swadesh Concept: ear
ziso	Swadesh Concept: eye
mhuno	Swadesh Concept: nose
muromo	Swadesh Concept: mouth
mukanwa	Swadesh Concept: mouth
zino	Swadesh Concept: tooth
rurimi	Swadesh Concept: tongue
nzara	Swadesh Concept: fingernail
tsoka	Swadesh Concept: foot
gumbo	Swadesh Concept: leg
ibvi	Swadesh Concept: knee
ruoko	Swadesh Concept: hand
bapiro	Swadesh Concept: wing
dumbu	Swadesh Concept: belly
ura	Swadesh Concept: guts
matumbu	Swadesh Concept: guts
mutsipa	Swadesh Concept: neck
huro throat	Swadesh Concept: neck
musana	Swadesh Concept: back
zamu breast	Swadesh Concept: breast
chifuva chest	Swadesh Concept: breast
chitaka	Swadesh Concept: liver
-nwa	Swadesh Concept: to drink
kudya	Swadesh Concept: to eat
-dya	Swadesh Concept: to eat
-ruma	Swadesh Concept: to bite
-sveta	Swadesh Concept: to suck
-pfira	Swadesh Concept: to spit
-rutsa	Swadesh Concept: to vomit
-furidza	Swadesh Concept: to blow
-fema	Swadesh Concept: to breathe
-seka	Swadesh Concept: to laugh
-ona	Swadesh Concept: to see
-nzwa	Swadesh Concept: to hear
-ziva	Swadesh Concept: to know
-funga	Swadesh Concept: to think
-nhuwidza	Swadesh Concept: to smell
-tya	Swadesh Concept: to fear
